kind,etag,id,snippet.title,snippet.description,snippet.customUrl,snippet.publishedAt,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.localized.title,snippet.localized.description,snippet.country,contentDetails.relatedPlaylists.likes,contentDetails.relatedPlaylists.uploads,statistics.viewCount,statistics.subscriberCount,statistics.hiddenSubscriberCount,statistics.videoCount,topicDetails.topicIds,topicDetails.topicCategories,status.privacyStatus,status.isLinked,status.longUploadsStatus,brandingSettings.channel.title,brandingSettings.channel.keywords,brandingSettings.channel.unsubscribedTrailer,brandingSettings.channel.country,brandingSettings.image.bannerExternalUrl,status.madeForKids,brandingSettings.channel.description,brandingSettings.channel.trackingAnalyticsAccountId,snippet.defaultLanguage,brandingSettings.channel.defaultLanguage,localizations.en_US.title,localizations.en_US.description,localizations.es_ES.title,localizations.es_ES.description
youtube#channel,zxYRtxx0btJ2KHFev9QmULumJcg,UCBr9kNjpq5-hi9eF9nYvmwA,Shelby Sherwood,,shelbysherwood,2014-10-06T17:39:54Z,https://yt3.ggpht.com/ytc/AKedOLSptud32iZl2l1ObrGM_SrbNw6ZrTDJqra7HcZE6h4=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSptud32iZl2l1ObrGM_SrbNw6ZrTDJqra7HcZE6h4=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSptud32iZl2l1ObrGM_SrbNw6ZrTDJqra7HcZE6h4=s800-c-k-c0x00ffffff-no-rj,800,800,Shelby Sherwood,,US,,UUBr9kNjpq5-hi9eF9nYvmwA,1084703,7040,False,175,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,Shelby Sherwood,"""Makeup Tutorials"" ""First Impression"" Fitness Makeup Beauty Clothing Fashion ""Full Coverage"" Easy",SLr1BKtEVU0,US,https://lh3.googleusercontent.com/p6uDv2xtfwWQK-qNyM1TYEIJPDNb8W4_5sdy4Rh09b_gjpHAHklDJgksluJgYZcNBUDzUvjIAg,,,,,,,,,
youtube#channel,6SbPmwsLB95URjB9Ab2PRpcbThs,UCK9It2n7-5-u5uuMolF1HNg,GOLDEN MEDUZA,,,2013-06-23T18:55:59Z,https://yt3.ggpht.com/ytc/AKedOLTQGdArdlvckwcSC4gggb7WMIv-3Sw3_wXRrCfIqg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLTQGdArdlvckwcSC4gggb7WMIv-3Sw3_wXRrCfIqg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLTQGdArdlvckwcSC4gggb7WMIv-3Sw3_wXRrCfIqg=s800-c-k-c0x00ffffff-no-rj,800,800,GOLDEN MEDUZA,,,,UUK9It2n7-5-u5uuMolF1HNg,234252,,True,301,"['/m/041xxh', '/m/019_rr']","['https://en.wikipedia.org/wiki/Physical_attractiveness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,GOLDEN MEDUZA,beauty vlog,,,https://lh3.googleusercontent.com/1KRJvD0KIZZPCVWY2knMrjRDoXtmPAYbvwP0o9lfZR7O4yPNrkhqXdqbYubANNLLzijryT_OsLo,,,,,,,,,
youtube#channel,Zt4FNBtFnb2lf4Ky6fLsBULsMCs,UCEKv34s-7qvYqOIo_8j_7bA,Lisa Monique Beauty,"As a 55 year old beauty enthusiast, I want to help other mature women navigate the world of beauty and fashion, finding the best products for our ever changing faces and bodies.  Mature women have different beauty needs than what is shown by the majority of beauty influencers. Please subscribe and join me on this journey to discover the best products and practices as I try and test new (and old) products and give you my unbiased opinions on how they work on my more mature skin.

About Me:  Wife, Mother, Photographer, Military Veteran, Empty Nester, Travel Lover, Beauty Enthusiast.  Please follow me on Instagram for live stories and topics that may not be published here.  @lisamoniquebeauty",lisamonique,2007-12-30T03:42:59Z,https://yt3.ggpht.com/Qg9nVItAgCwHXan9AeeLlRp3DHgP6d0xdMUjY7zYKnn7gYkzQLTQ0hP_6k3MN_DLKwbuNihYBw=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/Qg9nVItAgCwHXan9AeeLlRp3DHgP6d0xdMUjY7zYKnn7gYkzQLTQ0hP_6k3MN_DLKwbuNihYBw=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/Qg9nVItAgCwHXan9AeeLlRp3DHgP6d0xdMUjY7zYKnn7gYkzQLTQ0hP_6k3MN_DLKwbuNihYBw=s800-c-k-c0x00ffffff-no-rj,800,800,Lisa Monique Beauty,"As a 55 year old beauty enthusiast, I want to help other mature women navigate the world of beauty and fashion, finding the best products for our ever changing faces and bodies.  Mature women have different beauty needs than what is shown by the majority of beauty influencers. Please subscribe and join me on this journey to discover the best products and practices as I try and test new (and old) products and give you my unbiased opinions on how they work on my more mature skin.

About Me:  Wife, Mother, Photographer, Military Veteran, Empty Nester, Travel Lover, Beauty Enthusiast.  Please follow me on Instagram for live stories and topics that may not be published here.  @lisamoniquebeauty",US,,UUEKv34s-7qvYqOIo_8j_7bA,5957803,130000,False,291,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,Lisa Monique Beauty,"Beauty ""Mature make up"" ""Over 50 makeup"" makeup anti-aging ""over 40"" ""mature women"" ""empty nest"" ""makeup tutorial"" ""over 50 beauty"" ""Mature beauty"" ""Mature skin care"" ""Over 50 skincare"" ""Lisa Monique Beauty"" ""mature youtuber"" ""Over 50 Youtube""",,US,https://yt3.ggpht.com/PKmDogy1LFQqKmaDWMK3TslpIQ5CAz4Kk0_4LLDawkzP3AOaTs0jtx2LrSU-nP5NT4QBrVaZKQ,False,"As a 55 year old beauty enthusiast, I want to help other mature women navigate the world of beauty and fashion, finding the best products for our ever changing faces and bodies.  Mature women have different beauty needs than what is shown by the majority of beauty influencers. Please subscribe and join me on this journey to discover the best products and practices as I try and test new (and old) products and give you my unbiased opinions on how they work on my more mature skin.

About Me:  Wife, Mother, Photographer, Military Veteran, Empty Nester, Travel Lover, Beauty Enthusiast.  Please follow me on Instagram for live stories and topics that may not be published here.  @lisamoniquebeauty",UA-151429600-1,,,,,,
youtube#channel,fLBFpWTFwoeWFUxMBsEQ1zkb4ck,UCVmKbxyQf7C1ciHnXi-NPAw,Makeup by Zayna,"MAKEUP - Beauty - Personal Blog 🫶🏻

Zayna Anjum Ghazi - MAKEUP BY ZAYNA 

Bridal| Editorial|Fashion|Creative|Commercial 

𝐹𝑑𝑟/ 𝐷𝑖𝑟. 𝑜𝑓 𝐹𝑜𝑟𝑒𝑣𝑒𝑟 𝑀𝑎𝑘𝑒𝑢𝑝 𝐴𝑐𝑎𝑑𝑒𝑚𝑦 & 𝑆𝑡𝑢𝑑𝑖𝑜 

Delhi Based📍

Bussiness inquiries/collaboration: zayna.anjum@gmail.com

#makeupbyzayna #forevermuas 

MAKEUP | HAIR  | ACADEMY 

FREELANCE ARTIST WORLDWIDE  🌏

Subscribe to my channel for makeup, entertainment and much more.....

FOLLOW ME ON: 

Instagram @makeup_by_zayna

Facebook @makeupbyzayna

Pinterest @makeupbyzayna 

Roposo @makeupbyzayns

Twitter @makeupbyzayna

MORE INFO:


🌐https://www.instagram.com/makeup_by_zayna

🌐https://www.facebook.com/makeupbyzayna

🌐https://www.facebook.com/forevermuas",makeupbyzayna,2016-12-03T04:45:23Z,https://yt3.ggpht.com/O3SO1pySsfMNdEwmfNlQuqXdPCtlyQ_kEhtB-akNfPpe3094N1QJcxjONSO4O3yHdFP-cSE=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/O3SO1pySsfMNdEwmfNlQuqXdPCtlyQ_kEhtB-akNfPpe3094N1QJcxjONSO4O3yHdFP-cSE=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/O3SO1pySsfMNdEwmfNlQuqXdPCtlyQ_kEhtB-akNfPpe3094N1QJcxjONSO4O3yHdFP-cSE=s800-c-k-c0x00ffffff-no-rj,800,800,Makeup by Zayna,"MAKEUP - Beauty - Personal Blog 🫶🏻

Zayna Anjum Ghazi - MAKEUP BY ZAYNA 

Bridal| Editorial|Fashion|Creative|Commercial 

𝐹𝑑𝑟/ 𝐷𝑖𝑟. 𝑜𝑓 𝐹𝑜𝑟𝑒𝑣𝑒𝑟 𝑀𝑎𝑘𝑒𝑢𝑝 𝐴𝑐𝑎𝑑𝑒𝑚𝑦 & 𝑆𝑡𝑢𝑑𝑖𝑜 

Delhi Based📍

Bussiness inquiries/collaboration: zayna.anjum@gmail.com

#makeupbyzayna #forevermuas 

MAKEUP | HAIR  | ACADEMY 

FREELANCE ARTIST WORLDWIDE  🌏

Subscribe to my channel for makeup, entertainment and much more.....

FOLLOW ME ON: 

Instagram @makeup_by_zayna

Facebook @makeupbyzayna

Pinterest @makeupbyzayna 

Roposo @makeupbyzayns

Twitter @makeupbyzayna

MORE INFO:


🌐https://www.instagram.com/makeup_by_zayna

🌐https://www.facebook.com/makeupbyzayna

🌐https://www.facebook.com/forevermuas",IN,,UUVmKbxyQf7C1ciHnXi-NPAw,147696,534,False,326,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,Makeup by Zayna,,,IN,https://lh3.googleusercontent.com/d3U82cKMAppG1-d5dSDqDcq_G-cj_y4crhpFw09eXO-ebwKJL60dWEeBRh4fxnQoestI87J2fPU,,"MAKEUP - Beauty - Personal Blog 🫶🏻

Zayna Anjum Ghazi - MAKEUP BY ZAYNA 

Bridal| Editorial|Fashion|Creative|Commercial 

𝐹𝑑𝑟/ 𝐷𝑖𝑟. 𝑜𝑓 𝐹𝑜𝑟𝑒𝑣𝑒𝑟 𝑀𝑎𝑘𝑒𝑢𝑝 𝐴𝑐𝑎𝑑𝑒𝑚𝑦 & 𝑆𝑡𝑢𝑑𝑖𝑜 

Delhi Based📍

Bussiness inquiries/collaboration: zayna.anjum@gmail.com

#makeupbyzayna #forevermuas 

MAKEUP | HAIR  | ACADEMY 

FREELANCE ARTIST WORLDWIDE  🌏

Subscribe to my channel for makeup, entertainment and much more.....

FOLLOW ME ON: 

Instagram @makeup_by_zayna

Facebook @makeupbyzayna

Pinterest @makeupbyzayna 

Roposo @makeupbyzayns

Twitter @makeupbyzayna

MORE INFO:


🌐https://www.instagram.com/makeup_by_zayna

🌐https://www.facebook.com/makeupbyzayna

🌐https://www.facebook.com/forevermuas",,,,,,,
youtube#channel,KNV6yQlIpxo54pl-AyGV_ZZZ2ao,UCyMjKq7QAkZlc9M6jK-dP0g,CHI VLOG,"London United Kingdom-based Vlogger.
I vlog my life for your viewing pleasure.

A  GO GETTER😍
A BOSS LADY😍
A MUM😍
A RICH AUNTIE😍
DAUGHTER OF GRACE😍
FOOD LOVER👨🏿‍🍳

My Eyes Are Always On the Prize; I don't allow NOISE to distract ME.👊

Please Subscribe and turn on post notifications.

For advert placement and product review,
chi@beauticianchic.com

Thank you 
",chithebeauticianchic,2017-04-06T22:09:51Z,https://yt3.ggpht.com/tPhu9V5LcDhg9OnktfzsJ7gYx8LvkEtwHgGLEv05T5-nYxC7g8eyFDGXobYRkl-TejDrGDJULOc=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/tPhu9V5LcDhg9OnktfzsJ7gYx8LvkEtwHgGLEv05T5-nYxC7g8eyFDGXobYRkl-TejDrGDJULOc=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/tPhu9V5LcDhg9OnktfzsJ7gYx8LvkEtwHgGLEv05T5-nYxC7g8eyFDGXobYRkl-TejDrGDJULOc=s800-c-k-c0x00ffffff-no-rj,800,800,CHI VLOG,"London United Kingdom-based Vlogger.
I vlog my life for your viewing pleasure.

A  GO GETTER😍
A BOSS LADY😍
A MUM😍
A RICH AUNTIE😍
DAUGHTER OF GRACE😍
FOOD LOVER👨🏿‍🍳

My Eyes Are Always On the Prize; I don't allow NOISE to distract ME.👊

Please Subscribe and turn on post notifications.

For advert placement and product review,
chi@beauticianchic.com

Thank you 
",GB,,UUyMjKq7QAkZlc9M6jK-dP0g,534328,82600,False,58,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,CHI VLOG,"#LONDONMAKEUPARTIST #HAIRANDMAKEUPTRANSFORMATION #LACECLOSURE #FENTYBEAUTY #MAKEUPTRANSFORMATION #HAIRREVIEW #UKBEAUTYBLOGGER VLOGS COMEDY FASHION ""Nigerian mua"" ""nigerian makeup artist"" ""mobile afro hairdressers ans beauty"" ""home service hair"" braids ""senegalese twist"" uk ""nigerian wedding"" transformation thebeauticianchic prank nigeriancouple nigerianyoutuber nigeriachannel mukbang eatingshow food cook cooking familyvlog ukyoutubers cinematography ""Thequeens family"" ""the queens family""",bowT_6ENYYc,GB,https://yt3.ggpht.com/jwUNF7z9p8JLt6gfJf8VmT1KOezH5ThHRO40KHTXdqW2sEAHjMntI9-lhP-X9lZcCMjx_-31,,"London United Kingdom-based Vlogger.
I vlog my life for your viewing pleasure.

A  GO GETTER😍
A BOSS LADY😍
A MUM😍
A RICH AUNTIE😍
DAUGHTER OF GRACE😍
FOOD LOVER👨🏿‍🍳

My Eyes Are Always On the Prize; I don't allow NOISE to distract ME.👊

Please Subscribe and turn on post notifications.

For advert placement and product review,
chi@beauticianchic.com

Thank you 
",,,,,,,
youtube#channel,Y29j6wk_wVKXRkL1b0kiHRMlMZU,UCMVlFTYEyFFFPSkQE-eWdWQ,GLAMZILLA,,glamzilla,2015-06-29T05:11:42Z,https://yt3.ggpht.com/bGU6eMwlvNIOOxzpuYCx4r2xr9jy65qv5GXmmHRA315PnXUJ6eJ1eedyh-w-M1d_H6lc-jPbfw=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/bGU6eMwlvNIOOxzpuYCx4r2xr9jy65qv5GXmmHRA315PnXUJ6eJ1eedyh-w-M1d_H6lc-jPbfw=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/bGU6eMwlvNIOOxzpuYCx4r2xr9jy65qv5GXmmHRA315PnXUJ6eJ1eedyh-w-M1d_H6lc-jPbfw=s800-c-k-c0x00ffffff-no-rj,800,800,GLAMZILLA,,CA,,UUMVlFTYEyFFFPSkQE-eWdWQ,294398369,725000,False,317,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,GLAMZILLA,"Glamzilla ""Stephanie Valentine""",,CA,,False,,,,,,,,
youtube#channel,k4e6D_7OOvWsVRREE1vu2vuQXiQ,UC-JAYs887GcRROe_z9Kj2sQ,Mel in Melbourne,"LUXURY/FASHION/LIFESTYLE/TRAVEL - Hi I'm Mel and yes I live in Melbourne Australia :) 
Come join my #faMELy where you will find weekly videos on all things luxury, fashion and lifestyle!

WATCH for: Designer Unboxings/Hauls, Shopping Vlogs, In-depth Reviews/Comparison, Travel Vlogs plus exclusive invites to special luxury events! 

Business PR Enquires Only: askmelinmelbourne@gmail.com",melinmelbourne,2013-07-25T10:28:37Z,https://yt3.ggpht.com/ytc/AKedOLRYp9dZ-0bvXmayqJF252U3gHyZ8yd0FayXEcSc2w=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRYp9dZ-0bvXmayqJF252U3gHyZ8yd0FayXEcSc2w=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRYp9dZ-0bvXmayqJF252U3gHyZ8yd0FayXEcSc2w=s800-c-k-c0x00ffffff-no-rj,800,800,Mel in Melbourne,"LUXURY/FASHION/LIFESTYLE/TRAVEL - Hi I'm Mel and yes I live in Melbourne Australia :) 
Come join my #faMELy where you will find weekly videos on all things luxury, fashion and lifestyle!

WATCH for: Designer Unboxings/Hauls, Shopping Vlogs, In-depth Reviews/Comparison, Travel Vlogs plus exclusive invites to special luxury events! 

Business PR Enquires Only: askmelinmelbourne@gmail.com",AU,,UU-JAYs887GcRROe_z9Kj2sQ,49119891,303000,False,419,"['/m/019_rr', '/m/032tl']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Fashion']",public,True,longUploadsUnspecified,Mel in Melbourne,Luxury Fashion Vlogs designerunboxings,Y3zJC3qKTy8,AU,https://yt3.ggpht.com/-e9wbDgXxbiIBDcFwDJptt6UYQPBO7kYt-kYA6QWirCkJN81dRvRf2z3sNgBdaTCeui_6xTDWA,False,"LUXURY/FASHION/LIFESTYLE/TRAVEL - Hi I'm Mel and yes I live in Melbourne Australia :) 
Come join my #faMELy where you will find weekly videos on all things luxury, fashion and lifestyle!

WATCH for: Designer Unboxings/Hauls, Shopping Vlogs, In-depth Reviews/Comparison, Travel Vlogs plus exclusive invites to special luxury events! 

Business PR Enquires Only: askmelinmelbourne@gmail.com",,,,,,,
youtube#channel,czKlNylgsgrGSd2XPXsXtbm7G28,UCVL8o8CFPaOrWfv3o-uJMmQ,unpackqueen,"sharing the joy of unpacking beauty products

💚💚💙💙💜💜❤️❤️🧡🧡💛💛

",,2022-05-16T14:27:22.469451Z,https://yt3.ggpht.com/7QPp3c5vLRvD3RjGO900B6jEB9Bkk_GwyzQ_ZAS0Yho0Rg8w4KaVbw3RNzhtl_MF8WKokU5-=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/7QPp3c5vLRvD3RjGO900B6jEB9Bkk_GwyzQ_ZAS0Yho0Rg8w4KaVbw3RNzhtl_MF8WKokU5-=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/7QPp3c5vLRvD3RjGO900B6jEB9Bkk_GwyzQ_ZAS0Yho0Rg8w4KaVbw3RNzhtl_MF8WKokU5-=s800-c-k-c0x00ffffff-no-rj,800,800,unpackqueen,"sharing the joy of unpacking beauty products

💚💚💙💙💜💜❤️❤️🧡🧡💛💛

",,,UUVL8o8CFPaOrWfv3o-uJMmQ,122013,181,False,125,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,unpackqueen,,,,https://yt3.ggpht.com/SAfi-9mOhhdu0RByqFWuplI9lyOIksUrKWABkv4FfcJko7OlucpwHsPvlSV2JUMbo8F30VnYwc8,False,"sharing the joy of unpacking beauty products

💚💚💙💙💜💜❤️❤️🧡🧡💛💛

",,,,,,,
youtube#channel,1tYCzF7KTNqGJVKkHBiXbaL5xww,UCHMDYTXBLXgphEjAsPFZAyQ,Time With Natalie,"Welcome to my channel!

I'm Natalie and my channel is about fashion, beauty and lifestyle and helping women to be more confident and bold, brave and beautiful!

I hope you find inspiration and motivation through my videos and I would love to hear from you so don't be shy, please leave a comment and join the conversation.

Thanks for checking me out and don't forget to subscribe for the latest videos!",timewithnatalie,2009-12-14T18:13:30Z,https://yt3.ggpht.com/ytc/AKedOLRB3YR0qU4SJCnlA4CJdZo1yKLqk3EPJVXf8DHV3g=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRB3YR0qU4SJCnlA4CJdZo1yKLqk3EPJVXf8DHV3g=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRB3YR0qU4SJCnlA4CJdZo1yKLqk3EPJVXf8DHV3g=s800-c-k-c0x00ffffff-no-rj,800,800,Time With Natalie,"Welcome to my channel!

I'm Natalie and my channel is about fashion, beauty and lifestyle and helping women to be more confident and bold, brave and beautiful!

I hope you find inspiration and motivation through my videos and I would love to hear from you so don't be shy, please leave a comment and join the conversation.

Thanks for checking me out and don't forget to subscribe for the latest videos!",GB,,UUHMDYTXBLXgphEjAsPFZAyQ,1081762,7490,False,266,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,Time With Natalie,"""natalie brown"" ""time with natalie"" ""Oprah Winfrey"" ""over 40"" ""anti ageing skin care"" ""skincare for women"" ""oily skin"" ""L'Oreal Revitalift"" ""women over 40"" ""fashion for women over 40"" ""fashion tips for women over 40"" ""makeup over 40"" ""beauty over 40"" ""skincare over 40"" ""makeup tips for over 40"" lifestyle ""women over 50"" ""over 50"" ""fashion for women over 50"" ""skincare for women over 50"" ""beauty over 50"" ""makeup tips for over 50"" ""Michelle obama"" ""property investing"" ""property renovation""",mv48_STRJCI,GB,https://yt3.ggpht.com/z-0--EW21DE-A019bAJESFpWRCfVvyjMY8ga6gvjQEyky06UjwW1CXUvfv5fICN0t0tgzDpa72M,False,"Welcome to my channel!

I'm Natalie and my channel is about fashion, beauty and lifestyle and helping women to be more confident and bold, brave and beautiful!

I hope you find inspiration and motivation through my videos and I would love to hear from you so don't be shy, please leave a comment and join the conversation.

Thanks for checking me out and don't forget to subscribe for the latest videos!",,,,,,,
youtube#channel,Hd_usRoG3c9KsQFek6E16bFk0w4,UCv2NRxQGar_wLS30AcKQWjQ,Trevor Ritchie,"HELLO WORLD! I'm Trevor Ritchie and welcome to my skin care channel. I share my skin care routines, best skin care products, skin care steps, reviews, and tips & tricks for glowing skin. Hit subscribe and join our family :)

📧 infotrevorritchie@gmail.com

Shop Merch🌎: https://geni.us/VXqiTp


📱KEEP UP WITH ME

TikTok (@trevritchie) https://vm.tiktok.com/ZMJwX3Kgo/
YouTube (@TrevorRitchie) https://bit.ly/2BYVqet
Instagram (@trevritchie) https://bit.ly/2zBwA4p
Facebook (@TrevorRitchieYoutube) http://bit.ly/2EDDJ8z
Twitter (@trevritchie) http://bit.ly/2BELGYp


#skincare #bestskincareproducts #skincareroutine 
",trevorritchie,2011-10-25T10:59:39Z,https://yt3.ggpht.com/ytc/AKedOLSn-Xgk5TWH9-cMafcKPMxjqrf6sVz5UfMorZl9dA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSn-Xgk5TWH9-cMafcKPMxjqrf6sVz5UfMorZl9dA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSn-Xgk5TWH9-cMafcKPMxjqrf6sVz5UfMorZl9dA=s800-c-k-c0x00ffffff-no-rj,800,800,Trevor Ritchie,"HELLO WORLD! I'm Trevor Ritchie and welcome to my skin care channel. I share my skin care routines, best skin care products, skin care steps, reviews, and tips & tricks for glowing skin. Hit subscribe and join our family :)

📧 infotrevorritchie@gmail.com

Shop Merch🌎: https://geni.us/VXqiTp


📱KEEP UP WITH ME

TikTok (@trevritchie) https://vm.tiktok.com/ZMJwX3Kgo/
YouTube (@TrevorRitchie) https://bit.ly/2BYVqet
Instagram (@trevritchie) https://bit.ly/2zBwA4p
Facebook (@TrevorRitchieYoutube) http://bit.ly/2EDDJ8z
Twitter (@trevritchie) http://bit.ly/2BELGYp


#skincare #bestskincareproducts #skincareroutine 
",CA,,UUv2NRxQGar_wLS30AcKQWjQ,2619948,21500,False,365,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],public,True,longUploadsUnspecified,Trevor Ritchie,"""skin care"" ""skin care routine"" ""best skin care products"" ""skin care products"" ""korean skin care"" ""best skin care routine"" ""skin care steps"" ""best skin care"" ""korean skin care routine"" ""skin care routine order"" ""skin care for men"" ""fresh skin care"" ""trevor ritchie"" ""skin care routine steps"" ""skin care routine for men"" reviews ""skin care tips"" ""drugstore skin care"" ""retinol before and after"" ""estee lauder advanced night repair"" ""retin a before and after"" ""retin a"" retinol",ZAIs4K0ESSc,CA,https://yt3.ggpht.com/kHOITa_Qe4yd0TDgdsOlc5lQIOkLu35lbGiGD3fO79hzaSHo0SseJD6nRKvyt_tgvQNRLOc2DA,False,"HELLO WORLD! I'm Trevor Ritchie and welcome to my skin care channel. I share my skin care routines, best skin care products, skin care steps, reviews, and tips & tricks for glowing skin. Hit subscribe and join our family :)

📧 infotrevorritchie@gmail.com

Shop Merch🌎: https://geni.us/VXqiTp


📱KEEP UP WITH ME

TikTok (@trevritchie) https://vm.tiktok.com/ZMJwX3Kgo/
YouTube (@TrevorRitchie) https://bit.ly/2BYVqet
Instagram (@trevritchie) https://bit.ly/2zBwA4p
Facebook (@TrevorRitchieYoutube) http://bit.ly/2EDDJ8z
Twitter (@trevritchie) http://bit.ly/2BELGYp


#skincare #bestskincareproducts #skincareroutine 
",,,,,,,
