kind,etag,id,snippet.title,snippet.description,snippet.customUrl,snippet.publishedAt,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.localized.title,snippet.localized.description,snippet.country,contentDetails.relatedPlaylists.likes,contentDetails.relatedPlaylists.uploads,statistics.viewCount,statistics.subscriberCount,statistics.hiddenSubscriberCount,statistics.videoCount,topicDetails.topicIds,topicDetails.topicCategories,status.privacyStatus,status.isLinked,status.longUploadsStatus,status.madeForKids,brandingSettings.channel.title,brandingSettings.channel.description,brandingSettings.channel.keywords,brandingSettings.channel.unsubscribedTrailer,brandingSettings.channel.country,brandingSettings.image.bannerExternalUrl,snippet.defaultLanguage,brandingSettings.channel.trackingAnalyticsAccountId,brandingSettings.channel.defaultLanguage,localizations.en_US.title,localizations.en_US.description,localizations.es_ES.title,localizations.es_ES.description,localizations.fr_FR.title,localizations.fr_FR.description,localizations.is.title,localizations.fi.title,localizations.sr.title,localizations.hi.title,localizations.fa.title,localizations.pa.title,localizations.ka.title,localizations.sl.title,localizations.el.title,localizations.lt.title,localizations.de.title,localizations.es-419.title,localizations.hr.title,localizations.pt.title,localizations.sq.title,localizations.zh-CN.title,localizations.ro.title,localizations.pt-PT.title,localizations.ja.title,localizations.iw.title,localizations.iw.description,localizations.ta.title,localizations.gu.title,localizations.es.title,localizations.bn.title,localizations.eu.title,localizations.fr.title,localizations.sk.title,localizations.lv.title,localizations.ur.title,localizations.mr.title,localizations.hu.title,localizations.pt-BR.title,localizations.en.title,localizations.en.description,localizations.cs.title,localizations.fil.title,localizations.si.title,localizations.hy.title,localizations.sv.title,localizations.my.title,localizations.pl.title,localizations.ky.title,localizations.vi.title,localizations.bs.title,localizations.zu.title,localizations.fr-CA.title,localizations.km.title,localizations.kk.title,localizations.ru.title,localizations.ms.title,localizations.az.title,localizations.uk.title,localizations.en-GB.title,localizations.as.title,localizations.lo.title,localizations.kn.title,localizations.nl.title,localizations.am.title,localizations.ca.title,localizations.zh-HK.title,localizations.be.title,localizations.da.title,localizations.tr.title,localizations.or.title,localizations.ml.title,localizations.te.title,localizations.ne.title,localizations.sw.title,localizations.af.title,localizations.es-US.title,localizations.id.title,localizations.gl.title,localizations.zh-TW.title,localizations.en-IN.title,localizations.bg.title,localizations.mn.title,localizations.ko.title,localizations.et.title,localizations.th.title,localizations.uz.title,localizations.ar.title,localizations.mk.title,localizations.sr-Latn.title,localizations.no.title,localizations.it.title
youtube#channel,32xdYDUs7305y2p1OVAttMPgmWA,UCtDTO_RQr8wf_lhvcPWvUgQ,Daveyx3,"I'm a Challenger player in League of Legends, A Riven main known as Daveyx3.
My channel includes tips and tricks, guides and how to get better at League of Legends.
Also bringing you Educational and Learning content to improve and get better.
Everything about League of Legends and my main champion Riven, You can find it here on this channel.

This channel includes:
- How to get better at League of Legends
- Tips and Tricks to get better at League of Legends.
- Guides to improve in League of Legends
- Challenger gameplay & Commentary for League of Legends
- Educational and Learning content for League of Legends
- League of Legends Riven Content & All Champion Guides.
- League of Legends Season 12 Toplane Gameplay Guides!

~ History of Daveyx3 ~
[✓] 1500 Subscribers (08/2018)
[✓] 10K Subscribers (01/2019)
[✓] 50K Subscribers (06/2020)
[✓] 80K Subscribers (05/2021)
[✓ ] 100K Subscribers (07/2022)
[ ] 125K Subscribers
",daveyx3,2011-07-07T16:09:59Z,https://yt3.ggpht.com/ytc/AKedOLQlI01TRpqgEqSNGMeQ-ORdkTWwJuUv6nmh-Ik4xg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQlI01TRpqgEqSNGMeQ-ORdkTWwJuUv6nmh-Ik4xg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQlI01TRpqgEqSNGMeQ-ORdkTWwJuUv6nmh-Ik4xg=s800-c-k-c0x00ffffff-no-rj,800,800,Daveyx3,"I'm a Challenger player in League of Legends, A Riven main known as Daveyx3.
My channel includes tips and tricks, guides and how to get better at League of Legends.
Also bringing you Educational and Learning content to improve and get better.
Everything about League of Legends and my main champion Riven, You can find it here on this channel.

This channel includes:
- How to get better at League of Legends
- Tips and Tricks to get better at League of Legends.
- Guides to improve in League of Legends
- Challenger gameplay & Commentary for League of Legends
- Educational and Learning content for League of Legends
- League of Legends Riven Content & All Champion Guides.
- League of Legends Season 12 Toplane Gameplay Guides!

~ History of Daveyx3 ~
[✓] 1500 Subscribers (08/2018)
[✓] 10K Subscribers (01/2019)
[✓] 50K Subscribers (06/2020)
[✓] 80K Subscribers (05/2021)
[✓ ] 100K Subscribers (07/2022)
[ ] 125K Subscribers
",NL,,UUtDTO_RQr8wf_lhvcPWvUgQ,21786519,100000,FALSE,1171,"['/m/0403l3g', '/m/0bzvm2', '/m/025zzc', '/m/03hf_rm']","['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Strategy_video_game']",public,TRUE,longUploadsUnspecified,FALSE,Daveyx3,"I'm a Challenger player in League of Legends, A Riven main known as Daveyx3.
My channel includes tips and tricks, guides and how to get better at League of Legends.
Also bringing you Educational and Learning content to improve and get better.
Everything about League of Legends and my main champion Riven, You can find it here on this channel.

This channel includes:
- How to get better at League of Legends
- Tips and Tricks to get better at League of Legends.
- Guides to improve in League of Legends
- Challenger gameplay & Commentary for League of Legends
- Educational and Learning content for League of Legends
- League of Legends Riven Content & All Champion Guides.
- League of Legends Season 12 Toplane Gameplay Guides!

~ History of Daveyx3 ~
[✓] 1500 Subscribers (08/2018)
[✓] 10K Subscribers (01/2019)
[✓] 50K Subscribers (06/2020)
[✓] 80K Subscribers (05/2021)
[✓ ] 100K Subscribers (07/2022)
[ ] 125K Subscribers
","""league of legends"" daveyx3 ""daveyx3 gameplay"" ""league of legends riven"" ""league of legends riven guide"" ""league of legends riven tips"" ""league of legends riven build"" ""league of legends gameplay"" ""league of legends season 12"" ""league of legends season 12 gameplay"" ""league of legends toplane gameplay"" ""lol gameplay"" ""lol guide"" ""lol season 12"" ""lol riven"" ""riven guide"" ""riven tips"" ""riven runes"" ""riven build"" guide tips ""champion guide"" gameplay ""best riven""",RChKEW1MlQw,NL,https://yt3.ggpht.com/Jh8G_wVaStjS0IeVi4lxe-ChI7XWFbQvuXaT9IFVSYfXNW6vV3O7nWDLjMN2y4gYQaWiNT2YQg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,LUfyzlT1ovVdgGrizMhC6XssqDA,UCQldhsqGcoJuyqU-26cvcjQ,iiTzTimmy Two,,,2022-03-16T17:07:47.914011Z,https://yt3.ggpht.com/racpbZhdqDQty0ZI7dSfVJhYg-EAikR0Jcocp_dDzoohHdJLaPbdk6Qwkl_fAbPpntbVGsF5Xkg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/racpbZhdqDQty0ZI7dSfVJhYg-EAikR0Jcocp_dDzoohHdJLaPbdk6Qwkl_fAbPpntbVGsF5Xkg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/racpbZhdqDQty0ZI7dSfVJhYg-EAikR0Jcocp_dDzoohHdJLaPbdk6Qwkl_fAbPpntbVGsF5Xkg=s800-c-k-c0x00ffffff-no-rj,800,800,iiTzTimmy Two,,US,,UUQldhsqGcoJuyqU-26cvcjQ,6979869,128000,FALSE,54,"['/m/025zzc', '/m/0403l3g', '/m/0bzvm2']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",public,TRUE,longUploadsUnspecified,,iiTzTimmy Two,,"iitztimmy ""iitztimmy funny"" ""iitztimmy channel"" apex ""apex legends"" ""apex timmy"" ""apex legends timmy"" ""iitztimmy apex"" ""apex iitztimmy"" ""valorant timmy"" ""valorant iitztimmy"" ""timmy valorant"" ""iitztimmy valorant"" ""apex funny"" ""apex legends funny"" ""valorant funny"" ""iitztimmy clips""",aLoQIKcWemc,US,https://yt3.ggpht.com/6_Mfhu9N_eucn_7yKKgPXFNBfcMHBHEPtk9eOYdWIGOauEfRdKTqKsqTYtU7gP6Q7DO2FU2Sgw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,5cr0FGuj8mglshbkRhnx5edL_LI,UCvPmBM2wOVz8h6EVBoY6N3g,SkinSpotlights Shorts,"I don't know, I honestly don't.

Main Channel: https://www.youtube.com/skinspotlights/videos
Twitter: https://twitter.com/SkinSpotlights/
Wild Rift: https://www.youtube.com/skinspotlightswildrift/videos
",,2021-02-21T18:24:41.483354Z,https://yt3.ggpht.com/2ohlkY8F5xFlWkXmykUdK2hPY5uag0bbPv5nhGpx3cJ8Sub3rR5GzIGdYFFsT4LUh8PeqClc=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/2ohlkY8F5xFlWkXmykUdK2hPY5uag0bbPv5nhGpx3cJ8Sub3rR5GzIGdYFFsT4LUh8PeqClc=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/2ohlkY8F5xFlWkXmykUdK2hPY5uag0bbPv5nhGpx3cJ8Sub3rR5GzIGdYFFsT4LUh8PeqClc=s800-c-k-c0x00ffffff-no-rj,800,800,SkinSpotlights Shorts,"I don't know, I honestly don't.

Main Channel: https://www.youtube.com/skinspotlights/videos
Twitter: https://twitter.com/SkinSpotlights/
Wild Rift: https://www.youtube.com/skinspotlightswildrift/videos
",GB,,UUvPmBM2wOVz8h6EVBoY6N3g,3904093,22800,FALSE,53,"['/m/03hf_rm', '/m/0bzvm2', '/m/025zzc', '/m/0403l3g']","['https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game']",public,TRUE,longUploadsUnspecified,FALSE,SkinSpotlights Shorts,"I don't know, I honestly don't.

Main Channel: https://www.youtube.com/skinspotlights/videos
Twitter: https://twitter.com/SkinSpotlights/
Wild Rift: https://www.youtube.com/skinspotlightswildrift/videos
",,,GB,https://yt3.ggpht.com/QpwNLv4zik3b0J-Ml19QAgJD96dQQkepGVITKCvaOmtyfadmLQpeI1MeMbiGXnT_g9W1lL22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,yPkszzUY1PZCeUffgJmMlFGkMfc,UCZIuYUzkmEXgSSXzReOmeLw,WestJett,"Valorant skin memery and ""comedy""

WestJett isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games.

Best way to reach me is through discord or twitter.


",westjett,2020-05-28T20:00:22.608169Z,https://yt3.ggpht.com/ytc/AKedOLQQ8tLYtKji-QKGJfarZevshsLn1edFjCdLkN197A=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQQ8tLYtKji-QKGJfarZevshsLn1edFjCdLkN197A=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQQ8tLYtKji-QKGJfarZevshsLn1edFjCdLkN197A=s800-c-k-c0x00ffffff-no-rj,800,800,WestJett,"Valorant skin memery and ""comedy""

WestJett isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games.

Best way to reach me is through discord or twitter.


",CA,,UUZIuYUzkmEXgSSXzReOmeLw,62919087,349000,FALSE,423,"['/m/0403l3g', '/m/0bzvm2', '/m/025zzc']","['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game']",public,TRUE,longUploadsUnspecified,,WestJett,"Valorant skin memery and ""comedy""

WestJett isn't endorsed by Riot Games and doesn't reflect the views or opinions of Riot Games.

Best way to reach me is through discord or twitter.


","Valorant ""Valorant Skins"" ""Valorant Skin Content"" ""Valorant Top 5"" ""Valorant Skin Review"" ""valorant skin showcase"" westjett ""westjett valorant"" valorant ""valorant skins""",sKG6wovsM1Y,CA,https://yt3.ggpht.com/aywZsg3-CxJq-nugjrWjf2SKtQcd_k8NLkDQHBCVPnFMCIyQEJQ3BpF6MGee1SEdeWUyl7WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,EIMTw9uUC59QBQ2jC_s9gNgbTUQ,UCK04gsRst4_Lt5ZSpWZ6EaA,AkmaN,Professional Call Of Duty Mobile Player,,2012-07-30T20:17:55Z,https://yt3.ggpht.com/7O3hqh1v1hg4_8VtPuo2ze7_TxwABDDuUeKZI0XnQh6Zt3zRRCVlINu-9ItVTGw5fbXnsyZTvQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/7O3hqh1v1hg4_8VtPuo2ze7_TxwABDDuUeKZI0XnQh6Zt3zRRCVlINu-9ItVTGw5fbXnsyZTvQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/7O3hqh1v1hg4_8VtPuo2ze7_TxwABDDuUeKZI0XnQh6Zt3zRRCVlINu-9ItVTGw5fbXnsyZTvQ=s800-c-k-c0x00ffffff-no-rj,800,800,AkmaN,Professional Call Of Duty Mobile Player,,,UUK04gsRst4_Lt5ZSpWZ6EaA,4481181,39200,FALSE,157,"['/m/03hf_rm', '/m/02ntfj', '/m/0bzvm2', '/m/0403l3g', '/m/025zzc']","['https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action_game']",public,TRUE,longUploadsUnspecified,,AkmaN,Professional Call Of Duty Mobile Player,,,,https://yt3.ggpht.com/nQF15m9_wILkVPLdRMvYtzYvz9xvrz6TV0jZRXeW3ijxVZ5jGNLwny9jEh1IjK3WTyBsQqYy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,80KOqKTxHMCyfyfsaqlvSF9yNN4,UCKUcJOz32cYBjtHC0I7oZSw,DoroTactic138,,,2020-10-19T22:54:31.322275Z,https://yt3.ggpht.com/ldWXDv0fN4EXd9m_86jr4rvy_oxNMbqiR-4SbM3psXGcTb38aDHfggXr1uyeP97ZfDc94eUH=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ldWXDv0fN4EXd9m_86jr4rvy_oxNMbqiR-4SbM3psXGcTb38aDHfggXr1uyeP97ZfDc94eUH=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ldWXDv0fN4EXd9m_86jr4rvy_oxNMbqiR-4SbM3psXGcTb38aDHfggXr1uyeP97ZfDc94eUH=s800-c-k-c0x00ffffff-no-rj,800,800,DoroTactic138,,MX,,UUKUcJOz32cYBjtHC0I7oZSw,11213,23,FALSE,130,"['/m/0bzvm2', '/m/025zzc', '/m/0403l3g', '/m/03hf_rm', '/m/02ntfj']","['https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game']",public,TRUE,longUploadsUnspecified,,DoroTactic138,,,,MX,https://yt3.ggpht.com/MkrYsiiJ16DxSt2C8gIlCha52rFnRVu_GuQi1as3r3r5OvceuN4pxZw64ClgQZaEniKcZWplUw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,uGPv43F_CBSdL6WGwRAVRHnYqII,UCPHsU6YYKOOGJccT9qphGhA,Bot Boyz,,,2021-09-11T08:57:15.451924Z,https://yt3.ggpht.com/EWm_zhOM_OVannehCZcaXtVulReuiIB6z5c4qerPu-U4Te9gCCXtru7xoGj3X15RHKI_5HHylp0=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/EWm_zhOM_OVannehCZcaXtVulReuiIB6z5c4qerPu-U4Te9gCCXtru7xoGj3X15RHKI_5HHylp0=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/EWm_zhOM_OVannehCZcaXtVulReuiIB6z5c4qerPu-U4Te9gCCXtru7xoGj3X15RHKI_5HHylp0=s800-c-k-c0x00ffffff-no-rj,800,800,Bot Boyz,,,,UUPHsU6YYKOOGJccT9qphGhA,1387,66,FALSE,275,"['/m/025zzc', '/m/0bzvm2', '/m/0403l3g', '/m/02ntfj']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action-adventure_game']",public,TRUE,longUploadsUnspecified,FALSE,Bot Boyz,,,,,https://yt3.ggpht.com/-AFaXyPNDkimpT6gR-gLkDAZaK_MFOIiRG7WXoHbvNwR3zRMREL-ex42B27kgaRsmR_Ff4DOpcE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,dFntO-oYRy7r78RoWkKb309HTUM,UClh5azhOaKzdlThQFgoq-tw,Protatomonster,"Dedicated to making the highest quality Top 5 Plays and community highlight videos for a variety of games.

For Business Inquiries please email: Protatomonster@gmail.com

*To receive a prize for our Top 5 Plays series, you must earn the #1 spot! Winners receive $25 worth of RP :) No other spot receives a prize as it would get too pricey to reward everyone... plus, it makes it that much more special for those who claim that coveted spot.

Protatomonster Top 5 Plays
http://www.twitch.tv/protatomonster
http://www.protatomonster.com/
http://www.facebook.com/protatomonster
http://www.twitter.com/protatomonster

FAQ:

Where can I submit a replay?
You can use our form @ http://www.protatomonster.com/upload",protatomonster,2011-06-18T04:41:28Z,https://yt3.ggpht.com/ytc/AKedOLQDWpAvt9iUvfbQww7eAGtTSfjBVgydtdOO4osb=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQDWpAvt9iUvfbQww7eAGtTSfjBVgydtdOO4osb=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQDWpAvt9iUvfbQww7eAGtTSfjBVgydtdOO4osb=s800-c-k-c0x00ffffff-no-rj,800,800,Protatomonster,"Dedicated to making the highest quality Top 5 Plays and community highlight videos for a variety of games.

For Business Inquiries please email: Protatomonster@gmail.com

*To receive a prize for our Top 5 Plays series, you must earn the #1 spot! Winners receive $25 worth of RP :) No other spot receives a prize as it would get too pricey to reward everyone... plus, it makes it that much more special for those who claim that coveted spot.

Protatomonster Top 5 Plays
http://www.twitch.tv/protatomonster
http://www.protatomonster.com/
http://www.facebook.com/protatomonster
http://www.twitter.com/protatomonster

FAQ:

Where can I submit a replay?
You can use our form @ http://www.protatomonster.com/upload",US,,UUlh5azhOaKzdlThQFgoq-tw,619435229,1180000,FALSE,1965,"['/m/025zzc', '/m/0bzvm2', '/m/0403l3g', '/m/03hf_rm']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game']",public,TRUE,longUploadsUnspecified,FALSE,Protatomonster,"Dedicated to making the highest quality Top 5 Plays and community highlight videos for a variety of games.

For Business Inquiries please email: Protatomonster@gmail.com

*To receive a prize for our Top 5 Plays series, you must earn the #1 spot! Winners receive $25 worth of RP :) No other spot receives a prize as it would get too pricey to reward everyone... plus, it makes it that much more special for those who claim that coveted spot.

Protatomonster Top 5 Plays
http://www.twitch.tv/protatomonster
http://www.protatomonster.com/
http://www.facebook.com/protatomonster
http://www.twitter.com/protatomonster

FAQ:

Where can I submit a replay?
You can use our form @ http://www.protatomonster.com/upload","Protatomonster ""League of Legends"" LoL ""League of Legends Highlights"" ""League of Legends Montage"" ""LoL Montage"" ""Riot Games"" ""League of Legends Gameplay"" ""Funny LoL Moments"" ""Best LoL Moments"" ""LoL Moments"" League ""Wild Rift"" ""Wild Rift Moments"" ""LoL Best Moments""",tLXv6LTSGGc,US,https://lh3.googleusercontent.com/lcVJMNEu5grnnvRTVf0-5wyOn1wMj_L_ooetX113svG-eBZFZJ1Du4ajIDFdp-3idXUBR4fhgkE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,e8UgJyona1UOwI0qjAwFcOP9mHY,UCpFcHE36IoySjYj1Rytxyog,TheWarOwl,"Greetings! I make creative gaming videos on First Person Shooters.

I taught an entire generation how to play Counter-Strike.


",,2010-11-24T21:55:26Z,https://yt3.ggpht.com/ytc/AKedOLT7sB6u183vz6er0AL1rnxriqhdjv77ZXqS2HkINA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLT7sB6u183vz6er0AL1rnxriqhdjv77ZXqS2HkINA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLT7sB6u183vz6er0AL1rnxriqhdjv77ZXqS2HkINA=s800-c-k-c0x00ffffff-no-rj,800,800,TheWarOwl,"Greetings! I make creative gaming videos on First Person Shooters.

I taught an entire generation how to play Counter-Strike.


",US,,UUpFcHE36IoySjYj1Rytxyog,379950892,1420000,FALSE,878,"['/m/0403l3g', '/m/0bzvm2', '/m/025zzc', '/m/02ntfj']","['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Action-adventure_game']",public,TRUE,longUploadsUnspecified,FALSE,TheWarOwl,"Greetings! I make creative gaming videos on First Person Shooters.

I taught an entire generation how to play Counter-Strike.


","warowl thewarowl ""pc gaming"" ""competitive gaming"" ""pro gaming"" eSports ""Counter-Strike: Global Offensive"" CS:GO CSGO counter-strike ""Shooter Games"" ""online gaming"" Valorant",PrGWUXCRQGs,US,https://yt3.ggpht.com/bd0vcQq3r7gRIB0Ym5TQTJy4bPdUy2Y18feglv7WlF8JdJWWl53YntX2N8GadsLoSHE8vWSM9Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube#channel,DsTbRHSLIt72Uzxc8Nx0095yZE8,UCIavp7_lYfUdwgbelK-Coog,Doublelift Shorts,"Welcome to my official #shorts channel! Please only use my stream content if the content is over a week old, otherwise the video will be striked.",,2021-11-21T04:47:01.878373Z,https://yt3.ggpht.com/nNscG5jBsNCoOtrXcsG5yYsQ97DXnBighUaeCltXikUyEYv3F87gP8YCxHuwlznil1KZhD_U=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/nNscG5jBsNCoOtrXcsG5yYsQ97DXnBighUaeCltXikUyEYv3F87gP8YCxHuwlznil1KZhD_U=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/nNscG5jBsNCoOtrXcsG5yYsQ97DXnBighUaeCltXikUyEYv3F87gP8YCxHuwlznil1KZhD_U=s800-c-k-c0x00ffffff-no-rj,800,800,Doublelift Shorts,"Welcome to my official #shorts channel! Please only use my stream content if the content is over a week old, otherwise the video will be striked.",US,,UUIavp7_lYfUdwgbelK-Coog,4797938,4760,FALSE,127,"['/m/03hf_rm', '/m/0403l3g', '/m/025zzc', '/m/0bzvm2']","['https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",public,TRUE,longUploadsUnspecified,FALSE,Doublelift Shorts,"Welcome to my official #shorts channel! Please only use my stream content if the content is over a week old, otherwise the video will be striked.","doublelift ""tl doublelift"" ""tsm doublelift"" ""clg doublelift"" ""team solomid"" ""team liquid"" ""league of legends"" ""doublelift shorts"" ""more doublelift"" ""doublelift clips"" ""doublelift reacts""",SGir5R4ySMA,US,https://yt3.ggpht.com/8iTWbGaAGddtDGFor28hG7hcg_sV6scqtw3vJcStfOauy2Wnk_umsjCI7dhd7WsHdxeN25D--_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
