gaming_title,yes_relevancy,no_relevancy
COMUNIDAD ENFURECE! ¿QUIEN TIENE LA CULPA? ¿ACTIVISION O TENCENT? | COD Mobile | Rido,0.03423873335,0.9657612443
[Co-Stream] Call of Duty League OpTic Major 1 | Day 1,0.9905989766,0.009401010349
37K Novo Mapa - COD: WARZONE,0.325597614,0.6744023561
CALL OF DUTY BLACK OPS 1 YA ES 100% GRATIS,0.9521211386,0.04787889868
*NEW* Get Free Epic Character + Legendary Skin in COD Mobile! Redeem Code & more! Event Season 6,0.9937619567,0.006238051224
Call of Duty Mobile vs Call of Duty Warzone || COD Mobile vs PC || PK,0.9878802896,0.01211975329
I Got TROLLED With New JET 😭 COD Mobile Funny Moments Ep.238,0.9968910813,0.0031089494
Most OVERPOWERED Weapons in Cod Zombies (Modded),0.9124726057,0.08752734959
WORO WIDOWATI - BURUH COD Ft. BINTANG FORTUNA ( Official Music Video ),0.001180101535,0.9988198876
COD MOBILE JUST BROKE THE BEST SHOTGUN!! 🤯,0.9279866815,0.07201334834
15 Ways to REDUCE LAG and FPS DROP in COD Mobile! (NEW Settings + Tips),0.9878700376,0.01212997083
Saca Todas Tus Armas en Diamante Rápido! Cod Mobile! Fácil con Este Método Menos de 3 Horas!,0.001607413753,0.9983925223
I USED THE MOST SATISFYING WEAPONS in COD Mobile...,0.9829416871,0.01705837809
How to become a Sniper GOD in Search and Destroy... (My secret),0.9981588721,0.001841161167
C.o.D - Abstract departe,0.02765719779,0.9723427296
ピースキーパーは最弱武器です 異論はないな？【CODモバイル】【Tanaka90】,0.1811388284,0.8188611865
JET in FINAL CIRCLE vs FULL TEAM 🤯| COD MOBILE,0.9754331708,0.02456681803
LAS 10 ARMAS QUE MATAN MÁS RÁPIDO DE COD MOBILE (TE SORPRENDERÁS),0.07780477405,0.9221952558
GIANT Alaskan SEA DRAGON! Catch Clean Cook (Ling Cod),0.04109944776,0.9589005709
The Complete COD Zombies Storyline Explained (Aether to Vanguard; Everything You Need To Know),0.9359146953,0.06408527493
BURUH COD - AFTERSHINE (Official Music Video),0.01379048545,0.9862094522
What is Chemical oxygen demand | analysis of high [COD] sample | Dilution method | Science classes,0.7444075346,0.2555924952
Use Black market to win in Warzone...  ( Call of Duty ),0.9935510159,0.006448914763
30+ em Fortune's Keep está FÁCIL - COD: WARZONE,0.5828246474,0.4171753824
JET vs LEGENDARY HELICOPTER 🤯| COD MOBILE,0.8887068629,0.1112931669
Essa partida era RECORDE MUNDIAL - COD WARZONE,0.3982661963,0.6017338037
"Reaccionando a ""COD Mobile es un juego muy TURBIO"" de El Último Circulo",0.04835946113,0.9516406059
Difference between BOD & COD/ Biochemical Oxygen Demand & Chemical Oxygen Demand,0.2082256526,0.7917742729
COD - Army style!,0.2496882081,0.7503117919
GODZILLA vs KONG na Season 7 do COD Mobile: Será que esse evento chega?,0.09148489684,0.9085150957
What is Biochemical oxygen demand  (BOD ) || difference between BOD and COD in hindi,0.6036211252,0.3963788748
Reacting to the BEST COD MOBILE PLAYER! (Movement King),0.9674133062,0.03258669376
COD Mobile Funny Moments Ep.63 - When Tony Nghia Try Ninja Defuse Again,0.9471032619,0.05289678648
"8000€ COD BLACK OPS 2 TURNIER VON MONTE & HAPTIC🏆 MIT WILLY, RIIREX & ERSIN🔥",0.3205118179,0.6794881821
New JET Is Very SUS - COD Mobile Season 6 Funny Moments Ep.237,0.9937625527,0.006237433292
JACKAL: FUELED UP Event Explained in COD Mobile,0.877502203,0.12249773
COD Product Research - الطريقة الصحيحة لاجاد المنتوج المربح,0.3416982889,0.6583017111
TIENES QUE USAR LA KSP 45 AHORA MISMO!!! COD MOBILE Mejor clase y Configuración,0.05681785941,0.9431821108
Call of Duty: Modern Warfare II - Gameplay officiel !!,0.3281535506,0.671846509
TOP 5 STREAKS IN GHOSTS! | Call of Duty Shorts,0.9962872267,0.00371279777
次回作CoD:MW2の最新情報!!『射撃所が遂に復活!? MAPも全部リークで発覚!!w』【CoDモダンウォーフェア2 : 実況者ジャンヌ】,0.2411239296,0.7588760257
I RANKED EVERY SEASON IN COD MOBILE HISTORY...,0.9897672534,0.01023271959
PS5 Gameplay - Call Of Duty Vanguard Battle Of Midway Mission 4K 60FPS,0.990698278,0.009301682003
Encontré la MJOR CLASE para la KSP 45 en COD MOBILE,0.03277843073,0.9672215581
There Will Never Be Another Game Like Call of Duty Black Ops 2,0.9863924384,0.01360756811
Primer GAMEPLAY de los NUEVOS ZOMBIS de Cod Mobile,0.171262607,0.8287373781
CALL OF DUTY MODERN WARFARE 2 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],0.9920161963,0.007983759977
USE LA NUEVA ARMA MAS LETAL DE COD WARZONE *ARMAGUERRA*,0.0639000088,0.9360999465
*NEW* BATTLE ROYALE CLASS looks OVERPOWERED in COD MOBILE!!,0.9846596718,0.01534036547
I used ALL my coupons in CoD Mobile,0.9776260257,0.0223739408
WORLD RECORD! 138 KILL GAME in CoD WARZONE! (35 SOLO KILLS),0.9556152821,0.04438475147
"CHANGING my Voice 15 TIMES in COD LOBBIES! ""That's a soundboard!"" (Voice Trolling)",0.9349660277,0.06503390521
